Evaluation_Group,Dataset,System,MRR@5,Recall@5
public_source_candidate_pool,code_search_net,CogniSync_RRF,0.9982352941176471,0.9983529411764706
public_source_candidate_pool,code_search_net,Dense,0.9940954248366013,0.9981176470588236
public_source_candidate_pool,code_search_net,Hybrid_Naive,0.9902718954248366,0.9947450980392157
public_source_candidate_pool,code_search_net,Lexical,0.9833307189542484,0.9878431372549019
public_source_candidate_pool,ms_marco,CogniSync_RRF,0.6423757575757576,0.926430303030303
public_source_candidate_pool,ms_marco,Dense,0.5509373737373737,0.8753555555555556
public_source_candidate_pool,ms_marco,Hybrid_Naive,0.5034282828282828,0.8394161616161616
public_source_candidate_pool,ms_marco,Lexical,0.37596969696969695,0.7195515151515152
public_source_candidate_pool,sciq,CogniSync_RRF,0.9621658339907091,0.9645017091769655
public_source_candidate_pool,sciq,Dense,0.9634893505127531,0.9826452800420721
public_source_candidate_pool,sciq,Hybrid_Naive,0.9511175387851696,0.9679200631080725
public_source_candidate_pool,sciq,Lexical,0.928565167849943,0.951617144359716
public_source_candidate_pool,squad,CogniSync_RRF,0.9603019607843137,0.9658823529411765
public_source_candidate_pool,squad,Dense,0.9606901960784314,0.9952941176470588
public_source_candidate_pool,squad,Hybrid_Naive,0.934192156862745,0.9731764705882353
public_source_candidate_pool,squad,Lexical,0.8789372549019607,0.939764705882353
synthetic_domain,synthetic_domain,CogniSync_RRF,1.0,1.0
synthetic_domain,synthetic_domain,Dense,0.8934313725490196,1.0
synthetic_domain,synthetic_domain,Hybrid_Naive,0.8633333333333334,1.0
synthetic_domain,synthetic_domain,Lexical,0.8541176470588235,1.0
